1,Luis Fonsi - Despacito (Featuring Daddy Yankee),29,29,1,(x11),"4,541","67,086"
2,Ed Sheeran - Shape of You,30,29,1,(x4),"3,004","60,876"
3,Enrique Iglesias - SUBEME LA RADIO,23,19,3,(x7),"2,110","35,659"
4,Luis Fonsi - Despacito - Remix,16,16,1,(x5),"2,394","28,579"
5,Shakira - Chantaje,19,17,1,(x7),"1,802","27,667"
6,Drake - One Dance,21,21,1,(x8),"1,564","27,414"
7,Maluma - Felices los 4,14,13,1,(x6),"2,200","25,429"
8,Danny Ocean - Me Rehúso,16,15,2,(x4),"1,950","25,268"
9,The Chainsmokers - Something Just Like This,18,12,4,,"1,690","24,563"
10,Clean Bandit - Rockabye,18,16,2,(x4),"1,595","23,734"
11,Kygo - It Ain't Me,15,10,4,,"1,990","22,392"
12,Mike Posner - I Took A Pill In Ibiza - Seeb Remix,17,17,1,(x4),"1,401","20,501"
13,Jason Derulo - Swalla,16,11,5,,"1,489","19,807"
14,Justin Bieber - Sorry,17,17,1,(x7),"1,340","19,777"
15,Enrique Iglesias - DUELE EL CORAZON,14,14,1,(x6),"1,688","19,176"
16,Clean Bandit - Symphony,16,8,7,,"1,449","19,022"
17,Alan Walker - Faded,15,15,1,(x6),"1,646","18,974"
18,CNCO - Reggaetón Lento (Bailemos),15,13,3,(x1),"1,646","18,950"
19,Adele - Hello,15,15,1,(x7),"1,680","18,505"
20,DJ Snake - Let Me Love You,14,14,1,(x9),"1,624","18,496"
21,Justin Bieber - Love Yourself,15,15,1,(x2),"1,290","17,282"
22,Shakira - Me Enamoré,14,9,8,,"1,295","16,929"
23,The Chainsmokers - Paris,13,13,5,,"1,573","16,926"
24,The Chainsmokers - Closer,14,14,1,(x1),"1,508","16,851"
25,Justin Bieber - What Do You Mean?,15,15,1,(x4),"1,134","16,222"
26,Major Lazer - Cold Water,12,12,1,(x4),"1,379","15,612"
27,ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),11,11,3,(x2),"1,793","15,306"
28,Calvin Harris - This Is What You Came For,13,13,3,(x7),"1,264","15,037"
29,Carlos Vives - La Bicicleta,12,12,1,(x1),"1,354","14,039"
30,Charlie Puth - Attention,11,9,7,,"1,339","13,741"
31,The Chainsmokers - Don't Let Me Down,12,12,2,(x1),"1,205","13,275"
32,Lukas Graham - 7 Years,11,11,2,(x4),"1,348","13,201"
33,Major Lazer - Light It Up,12,12,3,(x3),"1,217","12,956"
34,Shawn Mendes - There's Nothing Holdin' Me Back,11,4,9,,"1,314","12,867"
35,David Guetta - 2U,8,8,4,,"1,606","11,924"
36,Jonas Blue - Fast Car,11,11,4,,"1,160","11,917"
37,"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",11,11,3,(x1),"1,174","11,803"
38,Ed Sheeran - Castle on the Hill,10,7,5,,"1,332","11,463"
39,J Balvin - Mi Gente,5,4,1,(x4),"2,516","10,964"
40,Pitbull - Hey Ma,10,1,10,,"1,164","10,918"
41,Martin Garrix - Scared to Be Lonely,9,5,6,,"1,312","10,873"
42,Nicky Jam - El Amante,9,4,8,,"1,345","10,585"
43,The Weeknd - Starboy,9,9,2,(x2),"1,326","10,357"
44,Sia - Cheap Thrills,9,9,3,(x1),"1,260","9,947"
45,DJ Khaled - I'm the One,8,1,9,,"1,270","8,974"
46,Apricot Fire - Die Wonne,6,6,1,(x6),"1,755","8,788"
47,Katy Perry - Chained To The Rhythm,7,6,7,,"1,381","8,740"
48,Jonas Blue - Perfect Strangers,7,7,5,,"1,271","7,909"
49,Martin Garrix - In the Name of Love,7,7,2,(x2),"1,258","7,709"
50,David Guetta - This One's for You,7,7,5,,"1,189","7,438"
51,CNCO - Hey DJ,6,1,9,,"1,197","6,587"
52,Rihanna - Work,5,5,2,(x2),"1,255","5,828"
53,C. Tangana - Mala Mujer,5,1,9,,"1,181","5,453"
54,Starley - Call On Me - Ryan Riback Extended Remix,5,,13,,"1,088","5,252"
55,Sia - The Greatest,4,4,4,,"1,242","4,706"
56,Jonas Blue - Mama,4,2,7,,"1,220","4,573"
57,Fifth Harmony - Work from Home,4,4,4,,"1,183","4,378"
58,Calvin Harris - My Way,4,4,5,,"1,120","4,255"
59,Wisin - Escápate Conmigo,4,,14,,"1,086","4,192"
60,Zara Larsson - Lush Life,4,4,6,,"1,067","4,171"
61,Shawn Mendes - Treat You Better,4,4,6,,"1,081","4,119"
62,Manuel Turizo - Una Lady Como Tú,3,2,5,,"1,271","3,574"
63,Sia - The Greatest,3,3,2,(x1),"1,147","3,402"
64,Jax Jones - You Don't Know Me,3,2,8,,"1,211","3,344"
65,Miley Cyrus - Malibu,3,,13,,"1,113","3,255"
66,Bruno Mars - That's What I Like,3,2,7,,"1,150","3,232"
67,Imagine Dragons - Thunder,3,,14,,"1,134","3,230"
68,J Balvin - Safari,3,3,9,,"1,082","3,173"
69,Shawn Mendes - Stitches,3,3,4,,"1,034","3,053"
70,Ellie Goulding - Love Me Like You Do,2,2,1,(x2),"1,161","2,173"
71,DJ Khaled - Wild Thoughts,2,,11,,"1,135","2,137"
72,The Weeknd - I Feel It Coming,2,,12,,"1,099","2,127"
73,Cali Y El Dandee - Lumbra,2,,11,,"1,081","2,116"
74,Galantis - No Money,2,2,5,,"1,090","2,092"
75,Zedd - Stay,2,,14,,"1,036","2,071"
76,ZAYN - PILLOWTALK,2,2,7,,"1,026","2,050"
77,Kungs - This Girl - Kungs Vs. Cookin' On 3 Burners,2,2,4,,"1,034","2,035"
78,Calvin Harris - Feels,1,1,6,,"1,246","1,246"
79,Maroon 5 - Don't Wanna Know,1,1,5,,"1,155","1,155"
80,Bruno Mars - 24K Magic,1,1,6,,"1,143","1,143"
81,Chris Jeday - Ahora Dice,1,,17,,"1,042","1,042"
82,Ed Sheeran - Galway Girl,1,,13,,"1,038","1,038"
83,Ariana Grande - Side To Side,1,1,8,,"1,034","1,034"
84,James Arthur - Say You Won't Let Go,1,1,4,,"1,017","1,017"
